Sample,Type,Treatment,Combo,Symbiont_density,SQRT_Symbiont
IC001,white,Control,WC,-0.987772165,-1.388217861
IC002,brown,Control,BC,-0.23584818,0.007471962
IC003,brown,Control,BC,0.060856959,0.315481684
IC004,brown,Control,BC,-0.666680302,-0.573307064
IC005,brown,Control,BC,-0.59352013,-0.45647601
IC006,brown,Control,BC,0.308788647,0.541613667
IC007,brown,Control,BC,-0.410619702,-0.201999558
IC008,brown,Control,BC,1.650058457,1.50465912
IC009,white,Control,WC,-0.621971308,-0.500633281
IC010,brown,Control,BC,-0.49190878,-0.309620505
IC011,brown,treatment,BT,-0.451264241,-0.254855044
IC012,white,treatment,WT,-1.024352251,-1.771354822
IC013,brown,treatment,BT,1.166388442,1.193662111
IC014,brown,treatment,BT,-0.162688009,0.088164629
IC015,brown,treatment,BT,-0.650422485,-0.546381279
IC016,brown,treatment,BT,-0.187074733,0.061661809
IC017,white,treatment,WT,-0.12204347,0.131515891
IC018,brown,treatment,BT,-0.012303212,0.243911599
IC019,white,treatment,WT,-0.84958073,-0.933889134
IC020,brown,Control,BC,-0.138301285,0.114294988
IC021,brown,Control,BC,-0.63416467,-0.520034749
IC022,brown,Control,BC,1.044454823,1.109966455
IC023,brown,Control,BC,-0.33745953,-0.11109466
IC024,brown,Control,BC,0.320982009,0.552167189
IC025,brown,Control,BC,1.328966597,1.301712515
IC026,white,Control,WC,-0.841451822,-0.914634533
IC027,white,Control,WC,-0.991836619,-1.410129831
IC028,brown,Control,BC,1.068841547,1.126898949
IC029,white,treatment,WT,-1.016223343,-1.590742326
IC030,brown,treatment,BT,3.678220995,2.572741781
IC031,white,treatment,WT,-1.020287797,-1.643642502
IC032,brown,treatment,BT,1.093228271,1.143733093
IC033,brown,treatment,BT,1.617542833,1.484683243
IC034,white,treatment,WT,-0.926805355,-1.145694785
IC035,brown,treatment,BT,0.288466385,0.523916638
IC036,brown,treatment,BT,-0.126107923,0.12722531
IC037,white,treatment,WT,-0.126107923,0.12722531
